severity,post_id,slug,title,humanized_at,brand,origin,expected_type,content_type_signals,meta_len,h3_count,has_disclaimer,focus_keyword,issues,meta
OK,59656,derma-factory-edlp-houttuynia-cordata-24-cleansing-foam-120g,DERMA FACTORY EDLP Houttuynia Cordata 24% Cleansing Foam 120g,2026-06-01 21:35:10,DERMA FACTORY EDLP,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,146,6,yes,DERMA FACTORY EDLP Houttuynia Cordata 24% Cleansing Foam 120g,,"DERMA FACTORY foam cleanser for acne-prone, oily skin with 24% heartleaf extract — Sulfate-free cleanser — shop at Emart Bangladesh, COD delivery."
OK,59857,b-lab-matcha-hydrating-foam-cleanser-120ml,B-LAB Matcha Hydrating Foam Cleanser 120ml,2026-05-31 18:53:57,B-LAB Matcha,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,153,6,yes,B-LAB Matcha Hydrating Foam Cleanser 120ml,,"B-LAB Matcha Hydrating Foam Cleanser for dry, dehydrated skin — matcha-infused gentle foam. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,60138,dabo-natural-rich-foam-cleanser-green-tea-180-ml,Dabo Natural Rich Foam Cleanser Green Tea 180 ml,2026-06-01 21:35:11,Dabo,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,155,6,yes,Dabo Natural Rich Foam Cleanser Green Tea 180 ml,,"Dabo foam cleanser for oily, acne-prone skin with Green Tea Extract — antioxidant protection. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,60160,dabo-natural-rich-foam-cleanser-collagen-20-ml,Dabo Natural Rich Foam Cleanser Collagen 20 ml,2026-06-02 21:01:17,Dabo,South Korea,foam_cleanser,toner|foam_cleanser,139,6,yes,Dabo Natural Rich Foam Cleanser Collagen 20 ml,,"Dabo collagen foam cleanser for mature, dry skin with anti-aging & wrinkle care — gentle South Korean beauty. Buy at Emart Bangladesh, COD."
OK,60184,dabo-7-in-1-multi-foam-cleanser-20-ml,Dabo 7 In 1 Multi Foam Cleanser 20 ml,2026-06-01 21:35:11,Dabo,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,156,6,yes,Dabo 7 In 1 Multi Foam Cleanser 20 ml,,"Dabo 7-in-1 foam cleanser for oily, sensitive skin with Centella Asiatica — travel size 20 ml. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,60190,dabo-all-in-one-black-snail-foam-cleanser-120-ml,Dabo All In One Black Snail Foam Cleanser 120 ml,2026-06-01 21:35:11,Dabo,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,147,6,yes,Dabo All In One Black Snail Foam Cleanser 120 ml,,"Dabo deep-cleansing foam with Black Snail Mucin, Charcoal for oily, combination skin — Dermatologist-friendly — authentic at Emart Bangladesh, COD."
OK,60192,dabo-natural-rich-foam-cleanser-collagen-180-ml,Dabo Natural Rich Foam Cleanser Collagen 180 ml,2026-06-01 22:34:27,Dabo,South Korea,foam_cleanser,toner|foam_cleanser,151,6,yes,Dabo Natural Rich Foam Cleanser Collagen 180 ml,,"Dabo collagen foam cleanser for mature, dry skin with hydrolysed collagen — anti-aging support. Authentic South Korean import at Emart Bangladesh, COD."
OK,60200,dabo-natural-rich-foam-cleanser-avocado-180-ml,Dabo Natural Rich Foam Cleanser Avocado 180 ml,2026-06-01 21:35:11,Dabo,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,140,6,yes,Dabo Natural Rich Foam Cleanser Avocado 180 ml,,"Dabo avocado foam cleanser for oily, acne-prone skin with tea tree extract — Fragrance-free formula — buy original at Emart Bangladesh, COD."
OK,60222,dabo-white-tree-saow-flake-pure-white-foam-cleanser-150-ml,Dabo White Tree Saow Flake Pure White Foam Cleanser 150 ml,2026-06-01 21:35:11,Dabo,South Korea,foam_cleanser,toner|foam_cleanser,150,6,yes,Dabo White Tree Saow Flake Pure White Foam Cleanser 150 ml,,"Dabo White Tree foam cleanser with brightening extract for hyperpigmentation and dull skin. White Tree Extract formula — buy at Emart Bangladesh, COD."
OK,60402,dabo-natural-rich-foam-cleanser-collagen-60-ml,Dabo Natural Rich Foam Cleanser – Collagen 60 ml,2026-06-01 22:34:25,Dabo,South Korea,foam_cleanser,toner|foam_cleanser,151,6,yes,Dabo Natural Rich Foam Cleanser – Collagen 60 ml,,"Dabo foam cleanser for mature skin with Hydrolyzed Collagen — supports wrinkle repair. Authentic South Korean import — buy at Emart, COD in Bangladesh."
OK,60464,phytotree-pure-alps-mountain-cleansing-foam-150-ml,Phytotree Pure Alps Mountain Cleansing Foam 150 ml,2026-06-02 22:17:20,Phytotree Pure Alps,South Korea,foam_cleanser,toner|foam_cleanser,151,6,yes,Phytotree Pure Alps Mountain Cleansing Foam 150 ml,,"Phytotree Pure Alps foam cleanser with alpine ingredients for normal to oily skin — refreshing. Authentic South Korean import at Emart Bangladesh, COD."
OK,60681,nature-republic-fresh-herb-cleansing-foam-170-ml-peach,Nature Republic Fresh Herb Cleansing Foam 170 ml – PEACH,2026-06-01 21:35:11,Nature Republic,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,136,6,yes,Nature Republic Fresh Herb Cleansing Foam 170 ml – PEACH,,"Nature Republic peach foam cleanser for dry, dull skin with peach extract — Low pH formula — price in Bangladesh at Emart Skincare, COD."
OK,60772,holika-holika-daily-fresh-olive-cleansing-foam-150-ml,Holika Holika Daily Fresh Olive Cleansing Foam 150 ml,2026-06-03 18:39:49,holika holika,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,157,6,yes,Holika Holika Daily Fresh Olive Cleansing Foam 150 ml,,"Holika Holika olive foam cleanser for normal, dry skin with Olive Extract — gentle daily cleanse. Authentic South Korean import at Emart Bangladesh with COD."
OK,60805,acne-combo-cosrx-salicylic-acid-cleanser-50ml-axis-y-dark-spot-serum-5ml,Acne Combo: Cosrx Salicylic Acid Cleanser 50ml + AXIS-Y Dark Spot Serum 5ml,2026-06-01 22:34:24,CosRx,South Korea,foam_cleanser,toner|foam_cleanser,142,6,yes,Acne Combo: Cosrx Salicylic Acid Cleanser 50ml + AXIS-Y Dark Spot Serum 5ml,,"CosRx foam cleanser for acne-prone, oily skin with Salicylic Acid and Niacinamide. Low pH formula — buy at Emart Bangladesh with COD delivery."
OK,60807,acne-combo-cosrx-low-ph-cleanser-50ml-axis-y-dark-spot-serum-5ml,Acne Combo: Cosrx Low pH Cleanser 50ml + AXIS-Y Dark Spot Serum 5ml,2026-06-02 22:37:07,CosRx,South Korea,foam_cleanser,toner|foam_cleanser,140,6,yes,Acne Combo: Cosrx Low pH Cleanser 50ml + AXIS-Y Dark Spot Serum 5ml,,"COSRX low pH foam + AXIS-Y serum combo for acne, hyperpigmentation in Bangladesh humidity. Low pH 5.5 formula. Buy at Emart Bangladesh, COD."
OK,60870,3w-clinic-rose-water-cleansing-foam-100ml,3w Clinic Rose Water Cleansing Foam 100ml,2026-06-01 22:34:25,3W Clinic,South Korea,foam_cleanser,toner|foam_cleanser,156,6,yes,3w Clinic Rose Water Cleansing Foam 100ml,,"3W Clinic rose water foam cleanser for dry, dehydrated skin with rose water — hydrates gently. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,60872,3w-clinic-charcoal-cleansing-foam-100-ml,3w Clinic Charcoal Cleansing Foam 100 ml,2026-06-02 13:08:08,3W Clinic,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,158,6,yes,3w Clinic Charcoal Cleansing Foam 100 ml,,"3W Clinic charcoal foam for oily, combination skin — absorbs excess sebum with activated carbon. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,60950,dabo-black-force-for-men-foam-cleanser-120-ml,Dabo Black Force For Men Foam Cleanser 120 ml,2026-06-01 22:34:25,Dabo,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,135,6,yes,Dabo Black Force For Men Foam Cleanser 120 ml,,Dabo Black Force foam cleanser with Ceramide NP and Panthenol for men's skin — deep cleanse. Buy at Emart Bangladesh with COD delivery.
OK,61032,3w-clinic-collagen-cleansing-foam-100-ml,3W Clinic Collagen Cleansing Foam 100 ml,2026-06-01 22:34:25,3W Clinic,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,152,6,yes,3W Clinic Collagen Cleansing Foam 100 ml,,"3W Clinic collagen foam cleanser for mature, dull skin — hydrolyzed collagen peptides. Authentic South Korean import — buy at Emart Bangladesh with COD."
OK,61036,3w-clinic-green-tea-cleansing-foam-100-ml,3w Clinic Green Tea Cleansing Foam 100 ml,2026-06-01 21:35:11,3W Clinic,South Korea,foam_cleanser,toner|foam_cleanser,146,6,yes,3w Clinic Green Tea Cleansing Foam 100 ml,,"3W Clinic Green Tea foam cleanser for oily, acne-prone skin — authentic South Korean import with acne care. Buy original at Emart Bangladesh, COD."
OK,61117,tonymoly-intense-care-gold-24k-snail-foam-cleanser-150-ml,Tonymoly Intense Care Gold 24k Snail Foam Cleanser 150 ml,2026-06-03 09:59:27,tonymoly,South Korea,foam_cleanser,toner|foam_cleanser,145,6,yes,Tonymoly Intense Care Gold 24k Snail Foam Cleanser 150 ml,,"Tonymoly gold-infused snail foam cleanser for dry, mature skin with hyaluronic acid — gentle brightening. Buy at Emart Bangladesh, COD available."
OK,61227,holika-holika-daily-fresh-rice-cleansing-foam-150-ml,Holika Holika Daily Fresh Rice Cleansing Foam 150 ml,2026-06-02 13:08:08,holika holika,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,158,6,yes,Holika Holika Daily Fresh Rice Cleansing Foam 150 ml,,"Holika Holika rice cleansing foam for normal, oily skin with Rice Bran Oil — gentle brightening. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,61389,tonymoly-shea-butter-chok-chok-foam-cleanser-250-ml,Tonymoly Shea Butter Chok Chok Foam Cleanser 250 ml,2026-06-03 18:39:53,tonymoly,South Korea,foam_cleanser,toner|foam_cleanser,144,6,yes,Tonymoly Shea Butter Chok Chok Foam Cleanser 250 ml,,"Tonymoly foam cleanser for dry, sensitive skin with Shea Butter — nourishing care. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,61493,dabo-green-tea-vital-rich-healthy-foam-cleanser-100-ml,Dabo Green Tea Vital-Rich Healthy Foam Cleanser 100 ml,2026-06-02 21:47:25,Dabo,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,152,6,yes,Dabo Green Tea Vital-Rich Healthy Foam Cleanser 100 ml,,"Dabo Green Tea foam cleanser for oily, acne-prone skin with green tea — gentle daily wash. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,61648,on-the-body-the-natural-avocado-mild-cleansing-foam-120-g,on the body The Natural Avocado Mild Cleansing Foam - 120 g,2026-06-02 21:47:26,L'Oréal,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,156,6,yes,on the body The Natural Avocado Mild Cleansing Foam - 120 g,,"L'Oréal avocado foam cleanser for normal, sensitive skin with glycerin — mild & non-stripping. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,61872,dabo-rice-ferment-foam-cleanser-whitening-shining-100ml,Dabo Rice Ferment Foam Cleanser Whitening &#038; Shining 100ml,2026-06-02 21:47:26,Dabo,South Korea,foam_cleanser,toner|foam_cleanser,153,6,yes,Dabo Rice Ferment Foam Cleanser Whitening &#038; Shining 100ml,,"Dabo whitening foam with Rice Ferment for dull, uneven skin — brightens and controls shine. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,61874,dabo-rice-ferment-foam-cleanser-whitening-shining-180ml,Dabo Rice Ferment Foam Cleanser Whitening &#038; Shining 180ml,2026-06-02 13:08:08,Dabo,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,157,6,yes,Dabo Rice Ferment Foam Cleanser Whitening &#038; Shining 180ml,,"Dabo Rice Ferment foam cleanser for hyperpigmentation-prone skin with rice ferment — brightening. Authentic South Korean import — from Emart Bangladesh, COD."
OK,61946,anua-peach-niacin-spread-cleansing-foam-150ml,Anua Peach Niacin Spread Cleansing Foam 150ml,2026-06-02 22:37:07,Anua,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,137,6,yes,ANUA PEACH NIACIN SPREAD CLEANSING FOAM 150ml,,"Anua peach foam for oily, dull skin with niacinamide — pores & brightening. 2% Niacinamide S.Korea import — buy at Emart Bangladesh, COD."
OK,62036,reihaku-hatomugi-moisturizing-facial-cleansing-foam-170g,Reihaku Hatomugi Moisturizing Facial Cleansing Foam 170g,2026-06-02 13:08:08,Reihaku Hatomugi Moisturizing,Japan,foam_cleanser,toner|foam_cleanser,152,6,yes,Reihaku Hatomugi Moisturizing Facial Cleansing Foam 170g,,"Reihaku Hatomugi foam cleanser for dry, normal skin with Japanese Job's Tears — gentle hydration. Authentic Japan import — buy at Emart Bangladesh, COD."
OK,62038,cow-brand-skin-life-facial-cleansing-foam-medicated-acne-care-130g,Cow brand Skin Life Facial Cleansing Foam Medicated Acne Care 130g,2026-06-01 22:34:25,Cow brands,Japan,foam_cleanser,toner|oil_cleanser|foam_cleanser,155,6,yes,Cow brand Skin Life Facial Cleansing Foam Medicated Acne Care 130g,,"Cow brand medicated foam cleanser for oily, acne-prone skin from Japan — controls breakouts. Authentic Japanese import at Emart Bangladesh — COD available."
OK,62706,skin1004-madagascar-centella-poremizing-deep-cleansing-foam-125ml,Skin1004 Madagascar Centella Poremizing Deep Cleansing Foam 125ml,2026-06-02 22:37:07,Skin1004,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,151,6,yes,Skin1004 Madagascar Centella Poremizing Deep Cleansing Foam 125ml,,"Skin1004 foam cleanser for oily, sensitive skin with Centella Asiatica — pore minimizing. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,62767,round-lab-1025-dokdo-cleansing-gel-150ml,Round Lab 1025 Dokdo Cleansing Gel 150ml,2026-06-03 18:39:55,Round Lab,South Korea,unknown,toner|essence|gel_cleanser,155,6,yes,Round Lab 1025 Dokdo Cleansing Gel 150ml,,"Round Lab gel cleanser for sensitive, dry skin with deep sea water — mildly acidic pH. Authentic South Korean import at Emart Bangladesh with COD delivery."
OK,62795,heimish-all-clean-gentle-exfoliating-gel-cleanser-130ml,Heimish All Clean Gentle Exfoliating Gel Cleanser 130ml,2026-06-02 21:47:26,Heimish All Clean,South Korea,gel_cleanser,toner|essence|gel_cleanser,157,6,yes,Heimish All Clean Gentle Exfoliating Gel Cleanser 130ml,,"Heimish All Clean gentle exfoliating gel for oily, sensitive skin — refines pores & blackheads. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,62809,im-from-mugwort-gel-cleanser-150ml,I&#8217;m From Mugwort Gel Cleanser 150ml,2026-06-02 22:17:20,I’m from,South Korea,gel_cleanser,toner|essence|oil_cleanser|gel_cleanser,158,6,yes,I&#8217;m From Mugwort Gel Cleanser 150ml,,"I’m From gel cleanser for sensitive, acne-prone skin with Mugwort Extract — soothes redness. Authentic South Korean import at Emart Bangladesh — COD delivery."
OK,62909,abib-acne-foam-cleanser-heartleaf-foam-150ml,Abib Acne foam cleanser Heartleaf foam 150ml,2026-06-02 22:17:20,Abib,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,150,6,yes,Abib Acne foam cleanser Heartleaf foam 150ml,,"Abib foam cleanser for acne-prone, oily skin with Heartleaf Extract — soothes blemishes. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,62935,torriden-balanceful-cleansing-gel-200ml,Torriden BALANCEFUL Cleansing Gel 200ml,2026-06-02 21:47:29,Torriden,South Korea,unknown,toner|essence|gel_cleanser|foam_cleanser,151,6,yes,Torriden BALANCEFUL Cleansing Gel 200ml,,"Torriden gentle gel cleanser for sensitive, dry skin with Panthenol (Provitamin B5) — soothes without stripping. Buy original at Emart Bangladesh, COD."
OK,62957,hadalabo-gokujyun-hydrataning-hyaluronic-cleansing-foam-100gm,Hadalabo Gokujyun Hydrataning Hyaluronic Cleansing Foam 100gm,2026-06-02 21:47:28,Hada Labo,Japan,foam_cleanser,toner|oil_cleanser|foam_cleanser,139,6,yes,Hadalabo Gokujyun Hydrataning Hyaluronic Cleansing Foam 100gm,,"Hada Labo foam cleanser for dry, dehydrated skin with Hyaluronic Acid — deep hydration. Authentic Japanese import at Emart Bangladesh, COD."
OK,62959,hada-labo-gokujyun-hyaluronic-acid-foaming-facewash160ml,Hada Labo Gokujyun Hyaluronic Acid Foaming Facewash160ml,2026-06-02 21:54:35,Hada Labo,Japan,foam_cleanser,toner|foam_cleanser,149,6,yes,Hada Labo Gokujyun Hyaluronic Acid Foaming Facewash160ml,,"Hada Labo foaming cleanser for dry, dehydrated skin with Hyaluronic Acid — Japanese gentle hydration. Buy authentic import at Emart Bangladesh — COD."
OK,62971,biore-skin-care-medicated-facial-wash-acne-care-130g,Biore Skin Care Medicated Facial Wash Acne Care 130g,2026-06-03 10:18:14,Biore Skin Care,Japan,foam_cleanser,toner|foam_cleanser,152,6,yes,Biore Skin Care Medicated Facial Wash Acne Care 130g,,"Biore Skin Care medicated foam for oily, acne-prone skin with Salicylic Acid — deep cleans pores. Authentic Japan import — buy at Emart Bangladesh, COD."
OK,62973,biore-skin-care-facial-wash-moisture-for-moist-smooth-skin-130g,Biore Skin Care Facial Wash Moisture For Moist & Smooth Skin 130g,2026-06-03 10:18:14,Biore Skin Care,Japan,foam_cleanser,toner|foam_cleanser,155,6,yes,Biore Skin Care Facial Wash Moisture For Moist &amp; Smooth Skin 130g,,"Biore foam cleanser for dry, dehydrated skin with micro-foam technology — gentle, hydrating. Authentic Japanese import at Emart Bangladesh — COD available."
OK,62975,biore-skin-care-facial-wash-rich-moisture-for-dry-skin-130g,Biore Skin care Facial Wash Rich Moisture For Dry Skin 130g,2026-06-03 10:18:14,Biore Skin Care,Japan,foam_cleanser,toner|foam_cleanser,153,6,yes,Biore Skin care Facial Wash Rich Moisture For Dry Skin 130g,,"Biore Skin Care foam cleanser for dry, dehydrated skin with squalane — moisture-lock hydration. Authentic Japanese import — buy at Emart Bangladesh, COD."
OK,62977,biore-skincare-facial-wash-scrub-for-dirty-pores-and-dead-skin-130g,Biore Skincare Facial Wash Scrub For Dirty Pores and Dead Skin 130g,2026-06-02 21:47:28,Biore Skincare Facial,Japan,foam_cleanser,toner|oil_cleanser|foam_cleanser,136,6,yes,Biore Skincare Facial Wash Scrub For Dirty Pores and Dead Skin 130g,,"Biore exfoliating face scrub with PHFA for oily skin, pores & blackheads. Gentle pore cleanser — buy at Emart Bangladesh, COD available."
OK,63073,kaine-rosemary-relief-gel-cleanser-mini-30ml,KAINE Rosemary Relief Gel Cleanser MINI &#8211; 30ml,2026-06-02 21:47:26,KAINE Rosemary Relief,South Korea,gel_cleanser,toner|essence|oil_cleanser|gel_cleanser,154,6,yes,KAINE Rosemary Relief Gel Cleanser MINI &#8211; 30ml,,"KAINE Rosemary gel cleanser for sensitive, combination skin — soothes with rosemary extract. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,63157,clean-clear-night-relaxing-deep-cleaning-face-wash-240ml,Clean & Clear Night Relaxing Deep Cleaning Face Wash 240ml,2026-06-02 21:47:26,Clean &amp; Clear,UK,foam_cleanser,toner|foam_cleanser,143,6,yes,Clean &amp; Clear Night Relaxing Deep Cleaning Face Wash 240ml,,"Clean & Clear foam cleanser for normal to oily skin with soothing agents — deep yet gentle. Authentic UK import — buy at Emart Bangladesh, COD."
OK,63171,b-lab-cica-barrier-5-5-gel-cleanser-120ml,B.LAB Cica Barrier 5.5 Gel Cleanser 120ml,2026-06-02 21:27:27,B.LAB Cica Barrier,South Korea,gel_cleanser,toner|essence|oil_cleanser|gel_cleanser|foam_cleanser,148,6,yes,B.LAB Cica Barrier 5.5 Gel Cleanser 120ml,,"B.LAB gentle gel cleanser for acne-prone, sensitive skin with Cica — low pH 5.5 formula. Buy authentic South Korean import at Emart Bangladesh, COD."
OK,63195,rovectin-clean-green-papaya-pore-cleansing-foam-150ml,Rovectin Clean Green Papaya Pore Cleansing Foam 150ml,2026-06-02 21:27:27,Rovectin,South Korea,foam_cleanser,toner|foam_cleanser,142,6,yes,Rovectin Clean Green Papaya Pore Cleansing Foam 150ml,,"Rovectin papaya foam cleanser for oily, combination skin with Papain Enzyme — pore refining. Low pH 5.5 formula. Buy at Emart Bangladesh, COD."
OK,63225,heimish-matcha-biome-low-ph-hydrating-mask-sheet-30ml,Heimish Matcha Biome Low pH Hydrating Mask Sheet 30ml,2026-06-02 22:37:07,Heimish Matcha Biome,South Korea,unknown,toner|oil_cleanser|foam_cleanser,158,6,yes,Heimish Matcha Biome Low pH Hydrating Mask Sheet 30ml,,"Heimish Matcha Biome hydrating foam for dry, sensitive skin with Matcha Biome Complex — low pH 5.5. Buy original South Korean import at Emart Bangladesh, COD."
OK,63433,pyunkang-yul-low-ph-cleansing-water-290ml,Pyunkang Yul Low pH Cleansing Water 290ml,2026-06-02 21:01:18,Pyunkang Yul,South Korea,unknown,toner|foam_cleanser|micellar,151,6,yes,Pyunkang Yul Low pH Cleansing Water 290ml,,"Pyunkang Yul Low pH cleansing foam for dry, sensitive skin with skin barrier agents. Low pH 5.5 South Korean import — buy at Emart Bangladesh with COD."
OK,63601,la-roche-posay-effaclar-purifying-cleansing-gel-400ml,La Roche Posay Effaclar Purifying Cleansing Gel 400ml,2026-06-02 13:08:11,La Roche Posay,France,unknown,toner|essence|oil_cleanser|gel_cleanser,137,6,yes,La Roche Posay Effaclar Purifying Cleansing Gel 400ml,,"La Roche Posay Effaclar gel cleanser for sensitive, oily skin — gentle purifying. Authentic French import — buy at Emart Bangladesh, COD."
OK,63637,kaine-rosemary-relief-gel-cleanser-150ml,KAINE Rosemary Relief Gel Cleanser 150ml,2026-06-02 21:27:27,KAINE Rosemary Relief,South Korea,gel_cleanser,toner|essence|gel_cleanser|foam_cleanser,155,6,yes,KAINE Rosemary Relief Gel Cleanser 150ml,,"KAINE Rosemary Relief gel cleanser for acne-prone, sensitive skin with Rosemary Extract — Low pH formula. Buy original at Emart Bangladesh — COD available."
OK,63679,neutrogena-hydro-boost-hydrating-cleansing-gel-162ml,Neutrogena Hydro Boost Hydrating Cleansing Gel 162ml,2026-06-02 13:08:10,Neutrogena,USA,unknown,toner|essence|gel_cleanser|foam_cleanser,147,6,yes,Neutrogena Hydro Boost Hydrating Cleansing Gel 162ml,,"Neutrogena Hydro Boost gel cleanser for dry, sensitive skin with Hyaluronic Acid — non-stripping. Buy original US import at Emart Bangladesh — COD."
OK,63775,heimish-matcha-biome-amino-acne-cleansing-foam-150ml,Heimish Matcha Biome Amino Acne Cleansing Foam 150ml,2026-06-02 22:17:20,Heimish Matcha Biome,South Korea,foam_cleanser,toner|foam_cleanser,157,6,yes,Heimish Matcha Biome Amino Acne Cleansing Foam 150ml,,"Heimish matcha biome foam cleanser for acne-prone, oily skin with matcha — gentle acne control. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,74050,anua-heartleaf-succinic-moisture-cleansing-foam-25ml,Anua Heartleaf Succinic Moisture Cleansing Foam 25ml,2026-06-03 18:39:58,Anua,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,149,6,yes,Anua Heartleaf Succinic Moisture Cleansing Foam 25ml,,"Anua foam cleanser for dry, dehydrated skin with heartleaf extract — moisture-boosting. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,74052,anua-heartleaf-quercetinol-pore-deep-cleansing-foam-150ml,Anua Heartleaf Quercetinol Pore Deep Cleansing Foam 150ml,2026-06-02 21:01:17,Anua,South Korea,foam_cleanser,toner|oil_cleanser|foam_cleanser,140,6,yes,Anua Heartleaf Quercetinol Pore Deep Cleansing Foam 150ml,,"Anua Heartleaf foam cleanser for oily, acne-prone skin with pore-tightening Quercetinol — South Korean import. Buy at Emart Bangladesh, COD."
OK,74062,aqualogica-iiiuminate-smoothie-face-wash-with-wild-berries-alpha-arbutin-for-luminous-glow-100ml,Aqualogica IIIuminate+ Smoothie Face Wash with Wild Berries & Alpha Arbutin for Luminous Glow 100ml,2026-06-01 22:34:25,Aqualogica IIIuminate+ Smoothie,India,foam_cleanser,toner|foam_cleanser,153,6,yes,Aqualogica IIIuminate+ Smoothie Face Wash with Wild Berries & Alpha Arbutin for Luminous Glow 100ml,,"Aqualogica foam face wash for oily, combination skin with Alpha Arbutin — fades hyperpigmentation. Authentic India import — buy at Emart Bangladesh, COD."
OK,74064,aqualogica-glow-smoothie-face-wash-with-papaya-vitamin-c-for-glowing-skin-100ml,Aqualogica Glow+ Smoothie Face Wash with Papaya & Vitamin C for Glowing Skin 100ml,2026-06-02 12:40:04,Aqualogica Glow+ Smoothie,India,foam_cleanser,toner|oil_cleanser|foam_cleanser,148,6,yes,Aqualogica Glow+ Smoothie Face Wash with Papaya & Vitamin C for Glowing Skin 100ml,,"Aqualogica Glow+ face wash with Papaya & Vitamin C for dull, hyperpigmented skin. Brightening foam cleanser — buy original at Emart Bangladesh, COD."
OK,74066,aqualogica-radiance-smoothie-face-wash-with-watermelon-niacinamide-for-clear-oil-free-skin-100ml,Aqualogica Radiance+ Smoothie Face Wash with Watermelon & Niacinamide for Clear & Oil-Free Skin 100ml,2026-06-02 21:47:26,Aqualogica Radiance+ Smoothie,India,foam_cleanser,toner|foam_cleanser,149,6,yes,Aqualogica Radiance+ Smoothie Face Wash with Watermelon & Niacinamide for Clear & Oil-Free Skin 100ml,,"Aqualogica Radiance+ foam face wash for dull, hyperpigmented skin with Niacinamide and Watermelon Extract. Buy at Emart Bangladesh with COD delivery."
OK,74080,innsaei-salicylic-acid-acne-solution-cleansing-foam-150ml,Innsaei Salicylic Acid Acne Solution Cleansing Foam 150ml,2026-06-02 12:40:12,Innsaei Salicylic Acid,Bangladesh,foam_cleanser,toner|foam_cleanser,143,6,yes,Innsaei Salicylic Acid Acne Solution Cleansing Foam 150ml,,"Innsaei Salicylic Acid foam cleanser for acne-prone, oily skin — BHA exfoliant with tea tree. Buy original at Emart Bangladesh — COD available."
OK,74082,innsaei-low-ph-daily-gel-cleanser-5-5-150ml,Innsaei Low Ph Daily Gel Cleanser 5.5 150ml,2026-06-02 12:40:12,Innsaei Low Ph,Bangladesh,gel_cleanser,toner|essence|oil_cleanser|gel_cleanser|foam_cleanser,142,6,yes,Innsaei Low Ph Daily Gel Cleanser 5.5 150ml,,"Innsaei Low pH gel cleanser for sensitive skin with Centella Asiatica — soothes irritation. Low pH 5.5 formula — buy at Emart Bangladesh, COD."
OK,74096,avene-cleanance-cleansing-gel-400ml,Avene Cleanance Cleansing Gel 400ml,2026-06-02 13:08:10,AVENE,France,unknown,toner|essence|gel_cleanser,154,6,yes,Avene Cleanance Cleansing Gel 400ml,,"AVENE gel cleanser for sensitive, oily skin with Avene Thermal Spring Water — soothes & exfoliates. Authentic French import, buy at Emart Bangladesh, COD."
OK,74098,avene-cleanance-cleansing-gel-200ml,Avene Cleanance Cleansing Gel 200ml,2026-06-02 21:01:17,AVENE,France,unknown,toner|essence|gel_cleanser,142,6,yes,Avene Cleanance Cleansing Gel 200ml,,"Avene gentle gel cleanser for sensitive, oily skin with MP Oil Control — soap-free. French pharmacy import — buy at Emart Bangladesh with COD."
OK,74243,retina-oroclin-lemon-brightening-cream-facewash-100ml,Retina Oroclin Lemon Brightening Cream Facewash 100ml,2026-06-02 13:08:08,Retina Oroclin Lemon,USA,unknown,toner|gel_cleanser,146,6,yes,oroclin skin cream,,"Retina Oroclin Lemon cream cleanser with Retinaldehyde and Citric Acid for hyperpigmentation, wrinkles. USA import — buy at Emart Bangladesh, COD."
